,userId,rating,title
0,1,5.0,Pulp Fiction (1994)
1,3,5.0,Pulp Fiction (1994)
2,4,4.0,Pulp Fiction (1994)
3,5,4.0,Pulp Fiction (1994)
4,7,4.0,Pulp Fiction (1994)
5,8,5.0,Pulp Fiction (1994)
6,10,4.5,Pulp Fiction (1994)
7,12,5.0,Pulp Fiction (1994)
8,13,5.0,Pulp Fiction (1994)
9,14,5.0,Pulp Fiction (1994)
10,15,5.0,Pulp Fiction (1994)
11,18,3.0,Pulp Fiction (1994)
12,19,3.5,Pulp Fiction (1994)
13,22,3.0,Pulp Fiction (1994)
14,23,5.0,Pulp Fiction (1994)
15,25,5.0,Pulp Fiction (1994)
16,26,3.0,Pulp Fiction (1994)
17,31,3.0,Pulp Fiction (1994)
18,32,5.0,Pulp Fiction (1994)
19,33,4.5,Pulp Fiction (1994)
20,34,4.0,Pulp Fiction (1994)
21,37,5.0,Pulp Fiction (1994)
22,38,4.5,Pulp Fiction (1994)
23,40,5.0,Pulp Fiction (1994)
24,43,5.0,Pulp Fiction (1994)
25,45,5.0,Pulp Fiction (1994)
26,50,5.0,Pulp Fiction (1994)
27,56,3.0,Pulp Fiction (1994)
28,57,4.0,Pulp Fiction (1994)
29,59,3.0,Pulp Fiction (1994)
30,62,4.5,Pulp Fiction (1994)
31,68,4.0,Pulp Fiction (1994)
32,69,5.0,Pulp Fiction (1994)
33,70,4.5,Pulp Fiction (1994)
34,72,5.0,Pulp Fiction (1994)
35,74,4.0,Pulp Fiction (1994)
36,75,3.0,Pulp Fiction (1994)
37,1,3.5,Three Colors: Red (Trois couleurs: Rouge) (1994)
38,7,5.0,Three Colors: Red (Trois couleurs: Rouge) (1994)
39,25,4.0,Three Colors: Red (Trois couleurs: Rouge) (1994)
40,47,4.0,Three Colors: Red (Trois couleurs: Rouge) (1994)
41,1,5.0,Three Colors: Blue (Trois couleurs: Bleu) (1993)
42,7,4.0,Three Colors: Blue (Trois couleurs: Bleu) (1993)
43,1,5.0,Underground (1995)
44,55,4.5,Underground (1995)
45,1,3.5,Singin' in the Rain (1952)
46,31,4.0,Singin' in the Rain (1952)
47,58,5.0,Singin' in the Rain (1952)
48,59,3.5,Singin' in the Rain (1952)
49,72,5.0,Singin' in the Rain (1952)
50,1,4.0,Dirty Dancing (1987)
51,9,5.0,Dirty Dancing (1987)
52,12,4.0,Dirty Dancing (1987)
53,15,2.0,Dirty Dancing (1987)
54,40,2.5,Dirty Dancing (1987)
55,50,4.0,Dirty Dancing (1987)
56,61,4.0,Dirty Dancing (1987)
57,72,4.0,Dirty Dancing (1987)
58,1,3.5,Delicatessen (1991)
59,12,4.5,Delicatessen (1991)
60,59,3.0,Delicatessen (1991)
61,1,3.5,Ran (1985)
62,3,5.0,Ran (1985)
63,55,3.0,Ran (1985)
64,59,3.5,Ran (1985)
65,1,5.0,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
66,1,4.0,"Bridge on the River Kwai, The (1957)"
67,9,5.0,"Bridge on the River Kwai, The (1957)"
68,20,4.5,"Bridge on the River Kwai, The (1957)"
69,38,3.5,"Bridge on the River Kwai, The (1957)"
70,58,4.5,"Bridge on the River Kwai, The (1957)"
71,59,4.0,"Bridge on the River Kwai, The (1957)"
72,72,4.0,"Bridge on the River Kwai, The (1957)"
73,1,3.5,M (1931)
74,72,5.0,M (1931)
75,1,4.0,Gattaca (1997)
76,2,4.5,Gattaca (1997)
77,3,5.0,Gattaca (1997)
78,8,2.0,Gattaca (1997)
79,13,4.0,Gattaca (1997)
80,18,3.5,Gattaca (1997)
81,23,5.0,Gattaca (1997)
82,31,2.0,Gattaca (1997)
83,43,3.5,Gattaca (1997)
84,46,4.5,Gattaca (1997)
85,57,4.5,Gattaca (1997)
86,66,3.5,Gattaca (1997)
87,72,3.0,Gattaca (1997)
88,1,2.5,Back to the Future Part II (1989)
89,12,2.0,Back to the Future Part II (1989)
90,13,3.5,Back to the Future Part II (1989)
91,23,3.0,Back to the Future Part II (1989)
92,28,4.0,Back to the Future Part II (1989)
93,31,2.0,Back to the Future Part II (1989)
94,43,3.5,Back to the Future Part II (1989)
95,54,5.0,Back to the Future Part II (1989)
96,57,4.5,Back to the Future Part II (1989)
97,61,4.0,Back to the Future Part II (1989)
98,72,4.0,Back to the Future Part II (1989)
